a midwinter's tale,7.5
ace ventura: when nature calls,6.1
across the sea of time,3.5
angels and insects,6.3
antonia's line,7.2
assassins,6
babe,6
balto,7.1
beautiful girls,6.6
bed of roses,5.1
big bully,3.9
bio-dome,4.4
black sheep,6
bottle rocket,6.8
broken arrow,5.7
carrington,6.4
casino,7.8
city hall,6
clueless,6.9
copycat,6.5
"cry, the beloved country",6.7
cutthroat island,5.7
dangerous minds,6.4
dead man walking,7.3
dead presidents,6.6
don't be a menace to south central while drinking your juice in the hood,6.2
dracula: dead and loving it,5.7
dunston checks in,5.1
eye for an eye,5.8
fair game,4.1
father of the bride part ii,5.7
four rooms,6.5
french twist,6
friday,7
from dusk till dawn,6.9
georgia,6.1
get shorty,6.4
goldeneye,6.6
grumpier old men,6.5
guardian angel,6.3
heat,7.7
heidi fleiss: hollywood madam,6.8
home for the holidays,6.3
how to make an american quilt,6.5
it takes two,6.1
jumanji,6.9
kicking and screaming,7
kids of the round table,3
la haine,7.9
lamerica,7.7
last summer in the hamptons,0
lawnmower man 2: beyond cyberspace,2.8
leaving las vegas,7.1
les miserables,6.6
mary reilly,5.7
mighty aphrodite,6.7
money train,5.4
mortal kombat,5.4
mr. holland's opus,6.9
nick of time,6.1
nico icon,7.3
nixon,7.1
now and then,6.6
once upon a time... when we were colored,4.5
othello,7
persuasion,7.4
pocahontas,6.7
powder,6.3
restoration,6.3
richard iii,6.9
sabrina,6.2
screamers,6.1
se7en,8.1
sense and sensibility,7.2
shanghai triad,6.5
shopping,5.6
sudden death,5.5
the american president,6.5
the big green,5.2
the city of lost children,7.6
the confessional,6.5
the crossing guard,6.1
the indian in the cupboard,5.9
the journey of august king,6.7
the juror,5.5
the postman,7.6
the usual suspects,8.1
the white balloon,7.5
things to do in denver when you're dead,6.7
to die for,6.7
tom and huck,5.4
toy story,7.7
twelve monkeys,7.4
two bits,5.4
two if by sea,4.5
vampire in brooklyn,4.5
waiting to exhale,6.1
when night is falling,5.9
white squall,6.3
wings of courage,6.8
